ID,MR,test.temp,food.ration,sex,TL
1,832,Ambient,High,F,125
1,811,Cold,High,F,125
1,793,Hot,High,F,125
2,854,Ambient,High,F,152
2,806,Cold,High,F,152
2,789,Hot,High,F,152
3,850,Ambient,High,F,184
3,801,Cold,High,F,184
4,859,Ambient,High,F,147
4,781,Cold,High,F,147
4,769,Hot,High,F,147
5,838,Ambient,High,F,163
5,789,Cold,High,F,163
5,780,Hot,High,F,163
6,843,Ambient,High,F,160
6,798,Cold,High,F,160
6,783,Hot,High,F,160
7,826,Ambient,Low,F,159
7,825,Cold,Low,F,159
7,762,Hot,Low,F,159
8,819,Ambient,Low,F,148
8,821,Cold,Low,F,148
8,778,Hot,Low,F,148
9,821,Ambient,Low,F,172
9,820,Cold,Low,F,172
9,774,Hot,Low,F,172
10,812,Ambient,Low,F,174
10,810,Cold,Low,F,174
10,772,Hot,Low,F,174
11,810,Ambient,Low,F,180
11,756,Hot,Low,F,180
12,815,Ambient,Low,F,136
12,808,Cold,Low,F,136
12,758,Hot,Low,F,136
13,845,Ambient,High,M,135
13,803,Cold,High,M,135
13,782,Hot,High,M,135
14,862,Ambient,High,M,161
14,812,Cold,High,M,161
14,783,Hot,High,M,161
15,863,Ambient,High,M,183
15,803,Cold,High,M,183
15,791,Hot,High,M,183
16,794,Cold,High,M,190
16,775,Hot,High,M,190
17,846,Ambient,High,M,176
17,786,Cold,High,M,176
17,767,Hot,High,M,176
18,854,Ambient,High,M,184
18,804,Cold,High,M,184
18,777,Hot,High,M,184
19,834,Ambient,Low,M,159
19,824,Cold,Low,M,159
19,778,Hot,Low,M,159
20,829,Ambient,Low,M,148
20,817,Cold,Low,M,148
20,763,Hot,Low,M,148
21,825,Ambient,Low,M,163
21,818,Cold,Low,M,163
21,766,Hot,Low,M,163
22,823,Ambient,Low,M,157
22,814,Cold,Low,M,157
22,773,Hot,Low,M,157
23,819,Ambient,Low,M,149
23,810,Cold,Low,M,149
24,815,Ambient,Low,M,138
24,804,Cold,Low,M,138
24,751,Hot,Low,M,138
